lm	phn1_cls	phn1_acnt	phn1_type	phn1_num	phn1_snum	phn2_cls	phn2_acnt	phn2_type	phn2_num	phn2_snum	*	words	Words	3-break	4-break	outcome
discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete
																class
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nr	n	-1	c	1	1	n	-1	c	1	1	False	False	False	False	D
Nr	n	-1	c	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nr	n	-1	c	3	1	n	-1	c	3	1	False	True	True	False	False	P
Nr	n	-1	c	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nr	n	-1	c	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nr	n	-1	c	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	True	False	False	P
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nr	n	-1	c	2	1	n	-1	c	2	1	False	True	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	True	False	True	P
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	True	False	False	D
Nr	n	-1	c	2	1	n	-1	c	2	1	False	True	True	False	False	P
Nr	n	-1	c	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	True	False	False	P
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nr	n	-1	c	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nr	n	-1	c	3	1	n	-1	c	3	1	False	True	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	True	False	False	P
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nr	n	-1	c	2	1	n	-1	c	2	1	False	True	True	False	False	P
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	True	False	False	P
Nr	n	-1	c	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	True	False	True	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	True	False	False	P
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	True	False	False	P
Nr	n	-1	o	0	3	n	-1	o	0	3	False	True	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	True	False	False	P
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nr	n	-1	c	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nr	n	-1	c	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nr	n	-1	c	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	True	False	False	P
Nr	n	-1	c	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	True	False	False	P
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nr	n	-1	a	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nr	n	-1	c	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	True	False	False	P
Nr	n	-1	c	2	1	n	-1	c	2	1	False	True	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	True	False	False	P
Nr	n	-1	c	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nr	n	-1	a	2	1	n	-1	a	2	1	False	True	True	False	False	P
Nr	n	-1	c	3	1	n	-1	c	3	1	False	True	True	False	False	P
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	True	False	False	P
Nr	n	-1	c	1	1	n	-1	c	1	1	False	True	True	False	False	D
Nr	n	-1	o	0	1	n	-1	o	0	1	False	True	True	False	False	P
