lm	phn1_cls	phn1_acnt	phn1_type	phn1_num	phn1_snum	phn2_cls	phn2_acnt	phn2_type	phn2_num	phn2_snum	*	words	Words	3-break	4-break	outcome
discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete
																class
Fr	fs	-1	o	0	1	fs	-1	o	0	1	False	True	True	False	False	P
Fr	fs	-1	o	0	1	fs	-1	o	0	1	False	True	True	False	False	P
Fr	fs	-1	c	1	1	fs	-1	c	1	1	False	True	True	False	False	P
Fr	fs	-1	o	0	1	fs	-1	o	0	1	False	True	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	fu	-1	c	1	1	fu	-1	c	1	1	False	True	True	False	False	P
Fr	fu	-1	c	1	1	fu	-1	c	1	1	False	True	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	fs	-1	c	3	1	fs	-1	c	3	1	False	True	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	a	-1	a	1	2	a	-1	a	1	2	False	True	True	False	True	P
Fr	fs	-1	c	2	1	fs	-1	c	2	1	False	True	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	fu	-1	c	1	1	fu	-1	c	1	1	False	True	True	False	False	D
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	fu	-1	c	1	1	fu	-1	c	1	1	False	True	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	D
Fr	fs	-1	c	1	1	fs	-1	c	1	1	False	True	True	False	False	P
Fr	fu	-1	c	1	1	fu	-1	c	1	1	False	True	True	False	False	D
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	D
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	a	-1	o	0	1	a	-1	o	0	1	False	True	True	False	False	P
Fr	fs	-1	c	1	1	fs	-1	c	1	1	False	True	True	False	False	D
Fr	fs	-1	o	0	1	fs	-1	o	0	1	False	True	True	False	False	D
Fr	fu	-1	c	1	1	fu	-1	c	1	1	False	True	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	fs	-1	o	0	1	fs	-1	o	0	1	False	True	True	False	False	D
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	a	-1	a	1	2	a	-1	a	1	2	False	True	True	False	False	P
Fr	fs	-1	c	2	1	fs	-1	c	2	1	False	True	True	False	False	P
Fr	fu	-1	c	1	1	fu	-1	c	1	1	False	True	True	False	False	P
Fr	fs	-1	o	0	1	fs	-1	o	0	1	False	True	True	True	False	P
Fr	fs	-1	c	1	2	fs	-1	c	1	2	False	True	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	fu	-1	c	1	1	fu	-1	c	1	1	False	True	True	False	False	P
Fr	fu	-1	c	1	1	fu	-1	c	1	1	False	True	True	False	False	D
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	D
Fr	fs	-1	c	2	1	fs	-1	c	2	1	False	True	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	D
Fr	fu	-1	c	1	1	fu	-1	c	1	1	False	True	True	False	False	D
Fr	fu	-1	o	0	1	fu	-1	o	0	1	False	True	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	fu	-1	c	1	1	fu	-1	c	1	1	False	True	True	False	False	P
Fr	fs	-1	o	0	1	fs	-1	o	0	1	False	True	True	False	False	P
Fr	fu	-1	c	1	1	fu	-1	c	1	1	False	True	True	False	False	D
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	D
Fr	a	-1	c	1	1	a	-1	c	1	1	False	True	True	False	False	P
Fr	fs	-1	c	2	3	fs	-1	c	2	3	False	True	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	fu	-1	o	0	1	fu	-1	o	0	1	False	True	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	fs	-1	c	2	1	fs	-1	c	2	1	False	True	True	False	False	D
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	a	-1	c	1	1	a	-1	c	1	1	False	True	True	False	False	P
Fr	fu	-1	c	1	1	fu	-1	c	1	1	False	True	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	a	-1	a	1	2	a	-1	a	1	2	False	True	True	False	False	P
Fr	fs	-1	c	2	1	fs	-1	c	2	1	False	True	True	False	False	P
Fr	fu	-1	c	2	1	fu	-1	c	2	1	False	True	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	fu	-1	o	0	1	fu	-1	o	0	1	False	True	True	False	False	P
Fr	fs	-1	c	1	2	fs	-1	c	1	2	False	True	True	False	False	P
Fr	a	-1	o	0	1	a	-1	o	0	1	False	True	True	False	False	P
Fr	fs	-1	c	1	1	fs	-1	c	1	1	False	True	True	False	False	P
Fr	fs	-1	o	0	1	fs	-1	o	0	1	False	True	True	False	False	P
Fr	fu	-1	c	1	1	fu	-1	c	1	1	False	True	True	False	False	P
Fr	a	-1	c	2	1	a	-1	c	2	1	False	True	True	False	False	P
Fr	fu	-1	o	0	1	fu	-1	o	0	1	False	True	True	False	False	P
Fr	fs	-1	c	1	2	fs	-1	c	1	2	False	True	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	fu	-1	c	1	1	fu	-1	c	1	1	False	True	True	False	False	P
Fr	fn	-1	o	0	1	fn	-1	o	0	1	False	True	True	False	False	P
Fr	a	-1	c	1	1	a	-1	c	1	1	False	True	True	False	False	P
