lm	phn1_cls	phn1_acnt	phn1_type	phn1_num	phn1_snum	phn2_cls	phn2_acnt	phn2_type	phn2_num	phn2_snum	*	words	Words	3-break	4-break	outcome
discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete
																class
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	False	D
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	False	D
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	False	D
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	a	1	1	g	-1	a	1	1	False	True	True	False	False	P
G	g	-1	o	0	2	g	-1	o	0	2	False	True	True	False	False	P
G	g	-1	a	1	1	g	-1	a	1	1	False	True	True	False	False	P
G	g	-1	a	1	1	g	-1	a	1	1	False	True	True	False	False	P
G	g	-1	o	0	2	g	-1	o	0	2	False	True	True	False	False	P
G	g	-1	a	1	1	g	-1	a	1	1	False	True	True	False	False	P
G	g	-1	a	1	1	g	-1	a	1	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	False	D
G	g	-1	o	0	3	g	-1	o	0	3	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	False	P
G	g	-1	a	2	1	g	-1	a	2	1	False	True	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	o	0	2	g	-1	o	0	2	False	True	True	False	False	P
G	g	-1	a	1	1	g	-1	a	1	1	False	True	True	False	True	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	D
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	D
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	False	P
G	g	-1	o	0	3	g	-1	o	0	3	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	True	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	False	P
G	g	-1	o	0	2	g	-1	o	0	2	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	True	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	False	P
G	g	-1	a	1	2	g	-1	a	1	2	False	True	True	False	False	P
G	g	-1	o	0	2	g	-1	o	0	2	False	True	True	False	False	D
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	a	1	1	g	-1	a	1	1	False	True	True	False	False	P
G	g	-1	c	2	1	g	-1	c	2	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	o	0	2	g	-1	o	0	2	False	True	True	False	False	D
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	o	0	2	g	-1	o	0	2	False	True	True	False	False	P
G	g	-1	o	0	2	g	-1	o	0	2	False	True	True	False	False	P
G	g	-1	a	1	1	g	-1	a	1	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	a	1	2	g	-1	a	1	2	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	True	P
G	g	-1	o	0	2	g	-1	o	0	2	False	True	True	False	False	P
G	g	-1	o	0	2	g	-1	o	0	2	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	D
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	c	1	1	g	-1	c	1	1	False	True	True	False	True	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	P
G	g	-1	o	0	1	g	-1	o	0	1	False	True	True	False	False	M
G	g	-1	c	2	1	g	-1	c	2	1	False	True	True	False	False	P
