lm	phn1_cls	phn1_acnt	phn1_type	phn1_num	phn1_snum	phn2_cls	phn2_acnt	phn2_type	phn2_num	phn2_snum	*	3-break	4-break	outcome
discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete
														class
V	v	2	n	1	1	v	2	n	1	1	TRUE	FALSE	TRUE	P
Sc	v	2	n	1	1	s	-1	a	1	1	FALSE	FALSE	FALSE	P
Sr	s	-1	a	1	1	s	-1	a	1	1	FALSE	FALSE	FALSE	P
V	v	1	n	2	1	v	1	n	2	1	FALSE	FALSE	FALSE	P
Sc	#	-1	#	0	0	s	-1	o	0	1	FALSE	FALSE	FALSE	D
Sr	s	-1	o	0	1	s	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	D
G	g	-1	o	0	1	g	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	TRUE	FALSE	FALSE	P
Fc	v	1	n	1	1	fs	-1	o	0	1	FALSE	FALSE	FALSE	P
Fr	fs	-1	o	0	1	fs	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	P
G	g	-1	o	0	1	g	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	P
G	g	-1	c	1	1	g	-1	c	1	1	FALSE	FALSE	FALSE	D
G	g	-1	o	0	1	g	-1	o	0	1	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	P
G	g	-1	c	1	1	g	-1	c	1	1	FALSE	FALSE	FALSE	D
Fc	g	-1	c	1	1	fs	-1	o	0	1	FALSE	FALSE	FALSE	P
Fr	fs	-1	o	0	1	fs	-1	o	0	1	FALSE	FALSE	FALSE	P
Nc	fs	-1	o	0	1	s	-1	o	0	2	FALSE	FALSE	FALSE	M
Sr	s	-1	o	0	2	s	-1	o	0	2	FALSE	FALSE	FALSE	P
V	v	1	n	1	1	v	1	n	1	1	TRUE	FALSE	FALSE	P
G	g	-1	c	1	1	g	-1	c	1	1	FALSE	FALSE	FALSE	P
Sc	g	-1	c	1	1	s	-1	c	1	2	FALSE	FALSE	TRUE	D
Sr	s	-1	c	1	2	s	-1	c	1	2	FALSE	FALSE	FALSE	D
V	v	1	n	1	1	v	1	n	1	1	FALSE	FALSE	FALSE	P
Fc	v	1	n	1	1	fs	-1	c	1	1	FALSE	FALSE	FALSE	P
Fr	fs	-1	c	1	1	fs	-1	c	1	1	FALSE	FALSE	FALSE	P
