lm	phn1_cls	phn1_acnt	phn1_type	phn1_num	phn1_snum	phn2_cls	phn2_acnt	phn2_type	phn2_num	phn2_snum	*	words	Words	3-break	4-break	outcome
discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete
																class
Nc	fs	-1	o	0	1	s	-1	o	0	2	False	True	True	False	False	M
Nc	v	1	n	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nc	fs	-1	o	0	1	s	-1	o	0	2	False	True	True	False	False	M
Nc	v	0	n	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nc	fu	-1	c	1	1	s	-1	c	1	2	False	True	True	False	False	M
Nc	v	0	n	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nc	v	0	n	3	2	n	-1	c	3	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nc	v	0	n	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nc	v	0	n	1	1	n	-1	o	0	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	a	1	1	False	True	True	False	True	P
Nc	v	0	n	2	1	n	-1	c	2	1	False	True	True	False	False	P
Nc	v	0	n	1	1	n	-1	o	0	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	a	1	1	False	True	True	False	False	D
Nc	v	0	n	2	1	n	-1	c	2	1	False	True	True	False	False	P
Nc	fs	-1	c	1	1	s	-1	c	1	2	False	True	True	False	False	M
Nc	fs	-1	o	0	1	s	-1	o	0	2	False	True	True	False	False	M
Nc	v	1	n	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nc	#	-1	#	0	0	n	-1	o	0	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nc	v	2	n	3	1	n	-1	c	3	1	False	True	True	False	True	P
Nc	v	0	n	1	1	n	-1	o	0	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	a	1	1	False	True	True	False	True	P
Nc	v	0	n	2	1	n	-1	c	2	1	False	True	True	False	False	P
Nc	fs	-1	o	0	1	s	-1	o	0	2	False	True	True	False	False	M
Nc	v	1	n	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nc	fs	-1	c	2	1	s	-1	o	0	1	False	True	True	False	False	M
Nc	#	-1	#	0	0	n	-1	o	0	1	False	True	True	False	True	P
Nc	v	1	n	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nc	s	-1	c	1	2	n	-1	o	0	1	False	True	True	False	False	P
Nc	#	-1	#	0	0	n	-1	o	0	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nc	fs	-1	o	0	1	s	-1	o	0	2	False	True	True	False	False	M
Nc	s	-1	c	1	1	n	-1	o	0	1	False	True	True	False	False	P
Nc	fs	-1	c	1	2	s	-1	c	1	3	False	False	False	False	D
Nc	fu	-1	c	1	1	s	-1	c	1	2	False	True	True	False	False	M
Nc	s	-1	c	1	2	n	-1	o	0	1	False	True	True	False	False	P
Nc	v	0	n	1	1	n	-1	o	0	1	False	True	True	False	False	P
Nc	#	-1	#	0	0	n	-1	o	0	1	False	True	True	False	True	P
Nc	g	-1	o	0	2	n	-1	o	0	3	False	True	True	False	False	P
Nc	#	-1	#	0	0	n	-1	o	0	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nc	v	0	n	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nc	fu	-1	c	1	1	s	-1	c	1	2	False	False	False	False	D
Nc	v	1	n	1	1	n	-1	o	0	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nc	s	-1	c	1	2	n	-1	o	0	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	a	1	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nc	fs	-1	c	1	2	s	-1	c	1	3	False	True	True	False	False	M
Nc	s	-1	c	1	3	n	-1	o	0	1	False	True	True	False	False	P
Nc	fs	-1	c	1	1	s	-1	c	1	2	False	True	True	False	False	M
Nc	v	0	n	2	1	n	-1	c	2	1	False	True	True	False	False	P
Nc	s	-1	c	1	1	n	-1	o	0	1	False	True	True	False	False	P
Nc	#	-1	#	0	0	n	-1	o	0	1	False	True	True	False	False	P
Nc	v	1	n	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nc	v	1	n	2	1	n	-1	a	2	1	False	True	True	False	False	P
Nc	v	0	n	3	1	n	-1	c	3	1	False	True	True	False	False	P
Nc	fs	-1	c	1	2	n	-1	o	0	1	False	True	True	False	False	P
Nc	v	0	n	1	1	n	-1	c	1	1	False	True	True	False	False	P
Nc	v	0	n	1	1	n	-1	o	0	1	False	True	True	False	False	P
